id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94739,18.476,Entire home/apt,661,3,49,2019-12-15,0.61,1,319
13044,JAMBO Guest House / Green Room,50700,Barry & Mina,,Ward 115,-33.90771,18.40535,Hotel room,2105,3,2,2016-02-06,0.02,5,0
15007,Blaauwberg House,59072,Dirk,,Ward 23,-33.80114,18.4618,Entire home/apt,2048,2,27,2019-08-18,0.37,2,293
15077,Top relaxed beach living in style,59342,Georg,,Ward 4,-33.85878,18.4897,Private room,1337,5,5,2016-12-10,0.06,5,327
15180,The Melkbaai - Beachfront,59663,Heinri,,Ward 83,-34.11124,18.82349,Entire home/apt,561,2,0,,,1,361
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91044,18.41239,Entire home/apt,124997,14,2,2016-04-15,0.03,1,365
15285,Waterford-Guinea Fowl Self Catering,59964,Chris+Alison,,Ward 71,-34.03863,18.43128,Entire home/apt,1207,2,7,2019-04-20,0.07,3,265
15331,Mountview Accommodation,60058,Francis,,Ward 60,-33.97069,18.49697,Entire home/apt,575,2,3,2014-01-13,0.03,1,180
15348,MARSHROSE  LUXURY SELF CATER ACCOMMODATION,60141,Linda,,Ward 70,-33.86903,18.62519,Private room,1403,3,0,,,1,365
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,I,,Ward 112,-33.82924,18.63144,Entire home/apt,645,3,1,2018-01-01,0.04,1,364
15480,In hip designer district of Cape T.,60443,Jean,,Ward 115,-33.92941,18.42277,Entire home/apt,999,10,14,2019-04-20,0.12,1,295
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,,Ward 54,-33.96462,18.37595,Entire home/apt,17897,4,1,2017-11-14,0.04,7,227
16259,Chambery - luxury self catering,63255,Cheryl,,Ward 59,-33.99463,18.46505,Entire home/apt,1252,2,6,2016-12-31,0.09,3,117
